M	D	A	C_x	C_y	C_xa	C_ya	m_z	C_x_дн
3.5	-10	-10	0.119563045	-1.409731886	0.420426283	-1.350903578	1.464451042	0.067555645
3.5	-10	-8.8	0.115991007	-1.21851936	0.357720639	-1.171309041	1.340818863	0.067452819
3.5	-10	-7.6	0.112867248	-1.033159553	0.30038929	-0.996430612	1.225968126	0.067275121
3.5	-10	-6.4	0.110640048	-0.859505185	0.253806527	-0.830984403	1.128680275	0.06694768
3.5	-10	-5.2	0.10912846	-0.698156805	0.216730434	-0.676238779	1.048265473	0.066245034
3.5	-10	-4	0.107974678	-0.542961419	0.184407675	-0.526843449	0.976287196	0.065354786
3.5	-10	-2.8	0.107672578	-0.403349389	0.164221052	-0.391476339	0.920115677	0.063879791
3.5	-10	-1.6	0.108112551	-0.266532181	0.148023309	-0.258614965	0.867891708	0.062980028
3.5	-10	-0.4	0.110036672	-0.13530462	0.139803323	-0.130765062	0.823562843	0.063230731
3.5	-10	0.8	0.111805485	-0.002175294	0.137632882	-0.00087377	0.776155178	0.064514268
3.5	-10	2	0.113496645	0.131904913	0.138487214	0.130038217	0.727208114	0.066314223
3.5	-10	3.2	0.11688004	0.276728263	0.151208761	0.271265519	0.666593046	0.066592773
3.5	-10	4.4	0.120502985	0.426892616	0.168114955	0.41745541	0.600767765	0.066703639
3.5	-10	5.6	0.124605031	0.587738975	0.193390442	0.573570478	0.52452206	0.066479135
3.5	-10	6.8	0.129446172	0.764288357	0.229070281	0.743996867	0.431825365	0.066791709
3.5	-10	8	0.134656861	0.94868925	0.269952295	0.921578916	0.330903175	0.067372822
3.5	-10	9.2	0.140882031	1.152054902	0.327892734	1.115020931	0.208770753	0.068440873
3.5	-10	10.4	0.147396608	1.359496978	0.391514523	1.311185626	0.083310767	0.069337735
3.5	-10	11.6	0.154489998	1.575091902	0.466499013	1.512795684	-0.048804348	0.069892217
3.5	-10	12.8	0.162210768	1.796180842	0.552771372	1.716558396	-0.182069709	0.070151062
3.5	-10	14	0.170245229	2.020016789	0.644687666	1.921397437	-0.315910193	0.070262087
3.5	-10	15.2	0.179143113	2.250859923	0.753715738	2.127256349	-0.451385763	0.070043373
3.5	-10	16.4	0.188291333	2.483453595	0.868370711	2.332561232	-0.586953206	0.069802446
3.5	-10	17.6	0.197940224	2.719548341	0.994279484	2.536758057	-0.722704396	0.069517096
