H	P	ro	T
-2000.000	128000.000	1.478	301.154
-1950.000	127000.000	1.471	300.829
-1900.000	126000.000	1.465	300.504
-1850.000	126000.000	1.458	300.179
-1800.000	125000.000	1.451	299.853
-1750.000	124000.000	1.444	299.528
-1700.000	124000.000	1.438	299.203
-1650.000	123000.000	1.431	298.878
-1600.000	122000.000	1.425	298.553
-1550.000	121000.000	1.418	298.227
-1500.000	121000.000	1.411	297.902
-1450.000	120000.000	1.405	297.577
-1400.000	119000.000	1.398	297.252
-1350.000	119000.000	1.392	296.927
-1300.000	118000.000	1.385	296.602
-1250.000	117000.000	1.379	296.277
-1200.000	117000.000	1.373	295.951
-1150.000	116000.000	1.366	295.626
-1100.000	115000.000	1.360	295.301
-1050.000	115000.000	1.353	294.976
-1000.000	114000.000	1.347	294.651
-950.000	113000.000	1.341	294.326
-900.000	113000.000	1.334	294.001
-850.000	112000.000	1.328	293.676
-800.000	111000.000	1.322	293.351
-750.000	111000.000	1.316	293.026
-700.000	110000.000	1.309	292.701
-650.000	109000.000	1.303	292.375
-600.000	109000.000	1.297	292.050
-550.000	108000.000	1.291	291.725
-500.000	108000.000	1.285	291.400
-450.000	107000.000	1.279	291.075
-400.000	106000.000	1.273	290.750
-350.000	106000.000	1.267	290.425
-300.000	105000.000	1.261	290.100
-250.000	104000.000	1.255	289.775
-200.000	104000.000	1.249	289.450
-150.000	103000.000	1.243	289.125
-100.000	103000.000	1.237	288.800
-50.000	102000.000	1.231	288.475
0.000	101000.000	1.225	288.150
50.000	101000.000	1.219	287.825
100.000	100000.000	1.213	287.500
150.000	99500.000	1.207	287.175
200.000	99000.000	1.202	286.850
250.000	98400.000	1.196	286.525
300.000	97800.000	1.190	286.200
350.000	97200.000	1.184	285.875
400.000	96600.000	1.179	285.550
450.000	96000.000	1.173	285.225
500.000	95500.000	1.167	284.900
550.000	94900.000	1.162	284.575
600.000	94300.000	1.156	284.250
650.000	93800.000	1.150	283.925
700.000	93200.000	1.145	283.601
750.000	92600.000	1.139	283.276
800.000	92100.000	1.134	282.951
850.000	91500.000	1.128	282.626
900.000	91000.000	1.123	282.301
950.000	90400.000	1.117	281.976
1000.000	89900.000	1.112	281.651
1050.000	89300.000	1.106	281.326
1100.000	88800.000	1.101	281.001
1150.000	88300.000	1.095	280.676
1200.000	87700.000	1.090	280.351
1250.000	87200.000	1.085	280.027
1300.000	86700.000	1.079	279.702
1350.000	86100.000	1.074	279.377
1400.000	85600.000	1.069	279.052
1450.000	85100.000	1.063	278.727
1500.000	84600.000	1.058	278.402
1550.000	84000.000	1.053	278.077
1600.000	83500.000	1.048	277.753
1650.000	83000.000	1.042	277.428
1700.000	82500.000	1.037	277.103
1750.000	82000.000	1.032	276.778
1800.000	81500.000	1.027	276.453
1850.000	81000.000	1.022	276.128
1900.000	80500.000	1.017	275.804
1950.000	80000.000	1.012	275.479
2000.000	79500.000	1.007	275.154
2050.000	79000.000	1.002	274.829
2100.000	78500.000	0.996	274.505
2150.000	78000.000	0.991	274.180
2200.000	77600.000	0.986	273.855
2250.000	77100.000	0.982	273.530
2300.000	76600.000	0.977	273.205
2350.000	76100.000	0.972	272.881
2400.000	75600.000	0.967	272.556
2450.000	75200.000	0.962	272.231
2500.000	74700.000	0.957	271.906
2550.000	74200.000	0.952	271.582
2600.000	73800.000	0.947	271.257
2650.000	73300.000	0.942	270.932
2700.000	72800.000	0.938	270.607
2750.000	72400.000	0.933	270.283
2800.000	71900.000	0.928	269.958
2850.000	71500.000	0.923	269.633
2900.000	71000.000	0.919	269.309
2950.000	70600.000	0.914	268.984
3000.000	70100.000	0.909	268.659
3050.000	69700.000	0.905	268.335
3100.000	69200.000	0.900	268.010
3150.000	68800.000	0.895	267.685
3200.000	68400.000	0.891	267.360
3250.000	67900.000	0.886	267.036
3300.000	67500.000	0.882	266.711
3350.000	67100.000	0.877	266.386
3400.000	66600.000	0.872	266.062
3450.000	66200.000	0.868	265.737
3500.000	65800.000	0.863	265.413
3550.000	65400.000	0.859	265.088
3600.000	64900.000	0.854	264.763
3650.000	64500.000	0.850	264.439
3700.000	64100.000	0.846	264.114
3750.000	63700.000	0.841	263.789
3800.000	63300.000	0.837	263.465
3850.000	62900.000	0.832	263.140
3900.000	62500.000	0.828	262.816
3950.000	62100.000	0.824	262.491
4000.000	61700.000	0.819	262.166
4050.000	61300.000	0.815	261.842
4100.000	60900.000	0.811	261.517
4150.000	60500.000	0.806	261.193
4200.000	60100.000	0.802	260.868
4250.000	59700.000	0.798	260.543
4300.000	59300.000	0.794	260.219
4350.000	58900.000	0.790	259.894
4400.000	58500.000	0.785	259.570
4450.000	58100.000	0.781	259.245
4500.000	57800.000	0.777	258.921
4550.000	57400.000	0.773	258.596
4600.000	57000.000	0.769	258.272
4650.000	56600.000	0.765	257.947
4700.000	56300.000	0.761	257.623
4750.000	55900.000	0.757	257.298
4800.000	55500.000	0.752	256.974
4850.000	55100.000	0.748	256.649
4900.000	54800.000	0.744	256.325
4950.000	54400.000	0.740	256.000
5000.000	54100.000	0.736	255.676
5050.000	53700.000	0.732	255.351
5100.000	53300.000	0.729	255.027
5150.000	53000.000	0.725	254.702
5200.000	52600.000	0.721	254.378
5250.000	52300.000	0.717	254.053
5300.000	51900.000	0.713	253.729
5350.000	51600.000	0.709	253.404
5400.000	51200.000	0.705	253.080
5450.000	50900.000	0.701	252.755
5500.000	50500.000	0.697	252.431
5550.000	50200.000	0.694	252.106
5600.000	49900.000	0.690	251.782
5650.000	49500.000	0.686	251.458
