t	G	R
0	10	30000
0.01	10	30000
0.02	10	30000
0.03	10	30000
0.04	10	30000
0.05	10	30000
0.06	10	30000
0.07	10	30000
0.08	10	30000
0.09	10	30000
0.1	10	30000
0.11	10	30000
0.12	10	30000
0.13	10	30000
0.14	10	30000
0.15	10	30000
0.16	10	30000
0.17	10	30000
0.18	10	30000
0.19	10	30000
0.2	10	30000
0.21	10	30000
0.22	10	30000
0.23	10	30000
0.24	10	30000
0.25	10	30000
0.26	10	30000
0.27	10	30000
0.28	10	30000
0.29	10	30000
0.3	10	30000
0.31	10	30000
0.32	10	30000
0.33	10	30000
0.34	10	30000
0.35	10	30000
0.36	10	30000
0.37	10	30000
0.38	10	30000
0.39	10	30000
0.4	10	30000
0.41	10	30000
0.42	10	30000
0.43	10	30000
0.44	10	30000
0.45	10	30000
0.46	10	30000
0.47	10	30000
0.48	10	30000
0.49	10	30000
0.5	10	30000
0.51	10	30000
0.52	10	30000
0.53	10	30000
0.54	10	30000
0.55	10	30000
0.56	10	30000
0.57	10	30000
0.58	10	30000
0.59	10	30000
0.6	10	30000
0.61	10	30000
0.62	10	30000
0.63	10	30000
0.64	10	30000
0.65	10	30000
0.66	10	30000
0.67	10	30000
0.68	10	30000
0.69	10	30000
0.7	10	30000
0.71	10	30000
0.72	10	30000
0.73	10	30000
0.74	10	30000
0.75	10	30000
0.76	10	30000
0.77	10	30000
0.78	10	30000
0.79	10	30000
0.8	10	30000
0.81	10	30000
0.82	10	30000
0.83	10	30000
0.84	10	30000
0.85	10	30000
0.86	10	30000
0.87	10	30000
0.88	10	30000
0.89	10	30000
0.9	10	30000
0.91	10	30000
0.92	10	30000
0.93	10	30000
0.94	10	30000
0.95	10	30000
0.96	10	30000
0.97	10	30000
0.98	10	30000
0.99	10	30000
1	10	30000
1.01	10	30000
1.02	10	30000
1.03	10	30000
1.04	10	30000
1.05	10	30000
1.06	10	30000
1.07	10	30000
1.08	10	30000
1.09	10	30000
1.1	10	30000
1.11	10	30000
1.12	10	30000
1.13	10	30000
1.14	10	30000
1.15	10	30000
1.16	10	30000
1.17	10	30000
1.18	10	30000
1.19	10	30000
1.2	10	30000
1.21	10	30000
1.22	10	30000
1.23	10	30000
1.24	10	30000
1.25	10	30000
1.26	10	30000
1.27	10	30000
1.28	10	30000
1.29	10	30000
1.3	10	30000
1.31	10	30000
1.32	10	30000
1.33	10	30000
1.34	10	30000
1.35	10	30000
1.36	10	30000
1.37	10	30000
1.38	10	30000
1.39	10	30000
1.4	10	30000
1.41	10	30000
1.42	10	30000
1.43	10	30000
1.44	10	30000
1.45	10	30000
1.46	10	30000
1.47	10	30000
1.48	10	30000
1.49	10	30000
1.5	10	30000
1.51	10	30000
1.52	10	30000
1.53	10	30000
1.54	10	30000
1.55	10	30000
1.56	10	30000
1.57	10	30000
1.58	10	30000
1.59	10	30000
1.6	10	30000
1.61	10	30000
1.62	10	30000
1.63	10	30000
1.64	10	30000
1.65	10	30000
1.66	10	30000
1.67	10	30000
1.68	10	30000
1.69	10	30000
1.7	10	30000
1.71	10	30000
1.72	10	30000
1.73	10	30000
1.74	10	30000
1.75	10	30000
1.76	10	30000
1.77	10	30000
1.78	10	30000
1.79	10	30000
1.8	10	30000
1.81	10	30000
1.82	10	30000
1.83	10	30000
1.84	10	30000
1.85	10	30000
