H	M	DC_x
0	0.6	0
0	0.9	0
0	1.1	0
0	1.5	0
0	2.5	0
0	3.5	0
500	0.6	0.002797001
500	0.9	0.002622673
500	1.1	0.00312042
500	1.5	0.001771348
500	2.5	0.001141231
500	3.5	0.000860508
1000	0.6	0.005572518
1000	0.9	0.00523681
1000	1.1	0.006226135
1000	1.5	0.003678326
1000	2.5	0.002244872
1000	3.5	0.001693724
2000	0.6	0.012720126
2000	0.9	0.010578955
2000	1.1	0.01212116
2000	1.5	0.008124259
2000	2.5	0.005124199
2000	3.5	0.003401373
5000	0.6	0.034180406
5000	0.9	0.029222772
5000	1.1	0.030760435
5000	1.5	0.02194536
5000	2.5	0.013910646
5000	3.5	0.008967393
10000	0.6	0.076389448
10000	0.9	0.068284122
10000	1.1	0.068642889
10000	1.5	0.04771795
10000	2.5	0.031693685
10000	3.5	0.02093824
15000	0.6	0.136152944
15000	0.9	0.125730732
15000	1.1	0.128415102
15000	1.5	0.090819889
15000	2.5	0.059463225
15000	3.5	0.039751222
